REG,MAKE,RANGE,MODEL,DERIVATIVE,PRICE_INC_VAT,COLOUR,MILEAGE,VEHICLE_TYPE,DATE_ON_FORECOURT,IMAGES
SM60DFV,Toyota,Prius,Business Edition +,1.8 VVTi Business Edition Plus 5dr CVT,"",BLUE,101807,CAR,0000-00-00,"https://stoneacre.test/images/SM60DFV_1.jpg,https://stoneacre.test/images/SM60DFV_2.jpg,https://stoneacre.test/images/SM60DFV_3.jpg,"
NF18LDB,Ford,Kuga,ST-Line,1.5 TDCi ST-Line 5dr Auto 2WD,"7,015.29",YELLOW,81382,CAR,2020-08-31,"https://stoneacre.test/images/NF18LDB_1.jpg,https://stoneacre.test/images/NF18LDB_2.jpg,https://stoneacre.test/images/NF18LDB_3.jpg,"
NQ08IQK,BMW,1-Series,Sport,116d Sport 5dr [Nav],"1,653.93",SILVER,107773,CAR,2020-06-01,"https://stoneacre.test/images/NQ08IQK_1.jpg,https://stoneacre.test/images/NQ08IQK_2.jpg,https://stoneacre.test/images/NQ08IQK_3.jpg,"
KW20BUW,Suzuki,Celerio,SZ2,1.0 SZ2 5dr,"4,828.20",RED,53836,CAR,2020-06-25,"https://stoneacre.test/images/KW20BUW_1.jpg,https://stoneacre.test/images/KW20BUW_2.jpg,https://stoneacre.test/images/KW20BUW_3.jpg,"
JJ06QEP,Peugeot,208,Tech Edition,1.2 PureTech 82 Tech Edition 5dr [Start Stop],"3,778.88",WHITE,42878,CAR,2020-09-03,"https://stoneacre.test/images/JJ06QEP_1.jpg,https://stoneacre.test/images/JJ06QEP_2.jpg,https://stoneacre.test/images/JJ06QEP_3.jpg,"
GN08NBQ,SEAT,Ibiza Sport Coupe,Sol,1.0 Sol 3dr,"4,829.36",BLACK,89710,CAR,2018-12-20,"https://stoneacre.test/images/GN08NBQ_1.jpg,https://stoneacre.test/images/GN08NBQ_2.jpg,https://stoneacre.test/images/GN08NBQ_3.jpg,"
BI16JBS,Fiat,500,Lounge,1.2 Lounge 3dr [Start Stop],"6,258.60",SILVER,38727,CAR,2019-05-18,"https://stoneacre.test/images/BI16JBS_1.jpg,https://stoneacre.test/images/BI16JBS_2.jpg,https://stoneacre.test/images/BI16JBS_3.jpg,"
FN62JDK,Fiat,500X,City Cross,1.0 City Cross 5dr,"4,657.74",GREY,57465,CAR,2019-09-19,"https://stoneacre.test/images/FN62JDK_1.jpg,https://stoneacre.test/images/FN62JDK_2.jpg,https://stoneacre.test/images/FN62JDK_3.jpg,"
JB02PPE,Peugeot,3008 SUV,Allure,1.6 BlueHDi 120 Allure 5dr,"5,339.36",BLUE,30765,CAR,2020-03-13,"https://stoneacre.test/images/JB02PPE_1.jpg,https://stoneacre.test/images/JB02PPE_2.jpg,https://stoneacre.test/images/JB02PPE_3.jpg,"
EM14OIB,Vauxhall,Corsa,Limited Edition,1.4 Limited Edition 5dr,"5,538.15",BLACK,23158,CAR,2020-06-10,"https://stoneacre.test/images/EM14OIB_1.jpg,https://stoneacre.test/images/EM14OIB_2.jpg,https://stoneacre.test/images/EM14OIB_3.jpg,"
NK58RBE,MG,ZS,Excite,1.0T GDi Excite 5dr DCT,"4,498.57",BLACK,38300,CAR,2019-12-13,"https://stoneacre.test/images/NK58RBE_1.jpg,https://stoneacre.test/images/NK58RBE_2.jpg,https://stoneacre.test/images/NK58RBE_3.jpg,"
YU14BUM,SEAT,Arona,SE Technology,1.0 TSI SE Technology 5dr,"6,015.37",PURPLE,23794,CAR,2020-11-14,"https://stoneacre.test/images/YU14BUM_1.jpg,https://stoneacre.test/images/YU14BUM_2.jpg,https://stoneacre.test/images/YU14BUM_3.jpg,"
UH50QOX,Kia,Sportage,2,1.6 CRDi ISG 2 5dr DCT Auto,"1,986.61",BLUE,27889,CAR,2019-02-10,"https://stoneacre.test/images/UH50QOX_1.jpg,https://stoneacre.test/images/UH50QOX_2.jpg,https://stoneacre.test/images/UH50QOX_3.jpg,"
KJ12LXP,Peugeot,2008 SUV,Allure,1.6 BlueHDi 100 Allure 5dr,"5,345.36",BLUE,35596,CAR,2020-06-05,"https://stoneacre.test/images/KJ12LXP_1.jpg,https://stoneacre.test/images/KJ12LXP_2.jpg,https://stoneacre.test/images/KJ12LXP_3.jpg,"
GH60QTB,Ford,C-Max,Titanium,1.5 TDCi Titanium X 5dr,"1,114.79",PURPLE,93960,CAR,2018-08-13,"https://stoneacre.test/images/GH60QTB_1.jpg,https://stoneacre.test/images/GH60QTB_2.jpg,https://stoneacre.test/images/GH60QTB_3.jpg,"
BD04RIP,Kia,Proceed,GT-Line,1.4T GDi ISG GT-Line 5dr,"3,180.62",SILVER,4038,CAR,2018-12-03,"https://stoneacre.test/images/BD04RIP_1.jpg,https://stoneacre.test/images/BD04RIP_2.jpg,https://stoneacre.test/images/BD04RIP_3.jpg,"
BP52XKI,Renault,Captur,Iconic,1.0 TCE 100 Iconic 5dr,"2,174.66",BLUE,82974,CAR,2019-05-02,"https://stoneacre.test/images/BP52XKI_1.jpg,https://stoneacre.test/images/BP52XKI_2.jpg,https://stoneacre.test/images/BP52XKI_3.jpg,"
EE20MUN,Fiat,500,Lounge,1.2 Lounge 3dr,"5,465.86",BLACK,34256,CAR,2020-05-08,"https://stoneacre.test/images/EE20MUN_1.jpg,https://stoneacre.test/images/EE20MUN_2.jpg,https://stoneacre.test/images/EE20MUN_3.jpg,"
GE10TQD,SEAT,Ateca,XCELLENCE,1.5 TSI EVO XCELLENCE [EZ] 5dr,"6,747.52",PURPLE,30598,CAR,2019-08-31,"https://stoneacre.test/images/GE10TQD_1.jpg,https://stoneacre.test/images/GE10TQD_2.jpg,https://stoneacre.test/images/GE10TQD_3.jpg,"
GI54QQD,Renault,Trafic Panel,SWB,SL28 ENERGY dCi 145 Black Edition Van,"6,207.66",GREY,23551,LCV,2019-08-30,"https://stoneacre.test/images/GI54QQD_1.jpg,https://stoneacre.test/images/GI54QQD_2.jpg,https://stoneacre.test/images/GI54QQD_3.jpg,"
